food_name_fake,food_name,food_group_fake,food_group,default_days_to_exp
Cranberry,cranberry, Fruit, fruit,10
Apple cider,apple cider,Beverage,beverage,
Ayran,ayran,Beverage,beverage,
Beer,beer,Beverage,beverage,
Berry wine,berry wine,Beverage,beverage,
Cocktail,cocktail,Beverage,beverage,
Doogh,doogh,Beverage,beverage,
Eggnog,eggnog,Beverage,beverage,
Energy drink,energy drink,Beverage,beverage,
Fortified wine,fortified wine,Beverage,beverage,
Fruit juice,fruit juice,Beverage,beverage,
Gin,gin,Beverage,beverage,
Grape wine,grape wine,Beverage,beverage,
Greenthread tea,greenthread tea,Beverage,beverage,
Hibiscus tea,hibiscus tea,Beverage,beverage,
Horchata,horchata,Beverage,beverage,
Liquor,liquor,Beverage,beverage,
Madeira wine,madeira wine,Beverage,beverage,
Other wine,other wine,Beverage,beverage,
Port wine,port wine,Beverage,beverage,
Rum,rum,Beverage,beverage,
Sake,sake,Beverage,beverage,
Sherry,sherry,Beverage,beverage,
Soft drink,soft drink,Beverage,beverage,
Spirit,spirit,Beverage,beverage,
Tea,tea,Beverage,beverage,
Vegetable juice,vegetable juice,Beverage,beverage,
Vermouth,vermouth,Beverage,beverage,
Vodka,vodka,Beverage,beverage,
Water,water,Beverage,beverage,
Whisky,whisky,Beverage,beverage,
American Cheese,american cheese,Dairy,dairy,60
Bleu Cheese,bleu cheese,Dairy,dairy,30
Brie Cheese,brie cheese,Dairy,dairy,14
Butter,butter,Dairy,dairy,90
Buttermilk,buttermilk,Dairy,dairy,14
Camembert Cheese,camembert cheese,Dairy,dairy,30
Casein,casein,Dairy,dairy,
Cheddar Cheese,cheddar cheese,Dairy,dairy,60
Cheese,cheese,Dairy,dairy,21
Colby-Jack Cheese,colby-jack cheese,Dairy,dairy,60
Comte Cheese,comte cheese,Dairy,dairy,60
Condensed milk,condensed milk,Dairy,dairy,
Cottage Cheese,cottage cheese,Dairy,dairy,10
Cream,cream,Dairy,dairy,14
Cream Cheese,cream cheese,Dairy,dairy,10
Curd,curd,Dairy,dairy,14
Epoisses Cheese,epoisses cheese,Dairy,dairy,10
Evaporated milk,evaporated milk,Dairy,dairy,
Farmer Cheese,farmer cheese,Dairy,dairy,5
Feta Cheese,feta cheese,Dairy,dairy,30
Ghee,ghee,Dairy,dairy,
Goat Cheese,goat cheese,Dairy,dairy,14
Gorgonzola Cheese,gorgonzola cheese,Dairy,dairy,21
Gouda Cheese,gouda cheese,Dairy,dairy,21
Gruyere,gruyere,Dairy,dairy,30
Havarti Cheese,havarti cheese,Dairy,dairy,21
Kefir,kefir,Dairy,dairy,14
Manchego Cheese,manchego cheese,Dairy,dairy,30
Mascarpone Cheese,mascarpone cheese,Dairy,dairy,10
Mexican Blend Cheese,mexican blend cheese,Dairy,dairy,14
Milk,milk,Dairy,dairy,14
Montery Jack Cheese,montery jack cheese,Dairy,dairy,60
Mozzerella Cheese,mozzerella cheese,Dairy,dairy,21
Muenster Cheese,muenster cheese,Dairy,dairy,21
Paneer,paneer,Dairy,dairy,3
Parmesan Cheese,parmesan cheese,Dairy,dairy,60
Pecorino Romano Cheese,pecorino romano cheese,Dairy,dairy,60
Pepperjack Cheese,pepperjack cheese,Dairy,dairy,60
Provolone Cheese,provolone cheese,Dairy,dairy,21
Queso Cheese,queso cheese,Dairy,dairy,14
Ricotta Cheese,ricotta cheese,Dairy,dairy,21
Roquefort Cheese,roquefort cheese,Dairy,dairy,30
Sour Cream,sour cream,Dairy,dairy,21
String Cheese,string cheese,Dairy,dairy,14
Swiss Cheese,swiss cheese,Dairy,dairy,30
Whipped Cream,whipped cream,Dairy,dairy,14
Yogurt,yogurt,Dairy,dairy,14
Arepa,arepa,Dish,dish,4
Baked beans,baked beans,Dish,dish,4
Baked potato,baked potato,Dish,dish,4
Breakfast sandwich,breakfast sandwich,Dish,dish,4
Burrito,burrito,Dish,dish,4
Chili,chili,Dish,dish,4
Chimichanga,chimichanga,Dish,dish,4
Cold cut,cold cut,Dish,dish,4
Couscous,couscous,Dish,dish,4
Dumpling,dumpling,Dish,dish,4
Egg roll,egg roll,Dish,dish,4
Empanada,empanada,Dish,dish,4
Enchilada,enchilada,Dish,dish,4
Falafel,falafel,Dish,dish,4
Fish burger,fish burger,Dish,dish,4
Frybread,frybread,Dish,dish,4
Gefilte fish,gefilte fish,Dish,dish,4
Hamburger,hamburger,Dish,dish,4
Hot dog,hot dog,Dish,dish,4
Hummus,hummus,Dish,dish,14
Hushpuppy,hushpuppy,Dish,dish,4
Lasagna,lasagna,Dish,dish,4
Macaroni and cheese,macaroni and cheese,Dish,dish,4
Meatball,meatball,Dish,dish,4
Meatloaf,meatloaf,Dish,dish,4
Nachos,nachos,Dish,dish,4
Other dish,other dish,Dish,dish,4
Other pasta dish,other pasta dish,Dish,dish,4
Other sandwich,other sandwich,Dish,dish,4
Pancake,pancake,Dish,dish,4
Pate,pate,Dish,dish,4
Pizza,pizza,Dish,dish,4
Pot pie,pot pie,Dish,dish,4
Potato gratin,potato gratin,Dish,dish,4
Potato puffs,potato puffs,Dish,dish,4
Pupusa,pupusa,Dish,dish,4
Quesadilla,quesadilla,Dish,dish,4
Ravioli,ravioli,Dish,dish,4
Rice cake,rice cake,Dish,dish,4
Salad,salad,Dish,dish,4
Sausage,sausage,Dish,dish,4
Scrapple,scrapple,Dish,dish,4
Soup,soup,Dish,dish,4
Stew,stew,Dish,dish,4
Succotash,succotash,Dish,dish,4
Taco,taco,Dish,dish,4
Tamale,tamale,Dish,dish,4
Tostada,tostada,Dish,dish,4
Vegetarian food,vegetarian food,Dish,dish,4
Veggie burger,veggie burger,Dish,dish,4
Waffle,waffle,Dish,dish,4
Abiyuch,abiyuch,Fruit,fruit,10
Acerola,acerola,Fruit,fruit,10
Alaska blueberry,alaska blueberry,Fruit,fruit,10
American cranberry,american cranberry,Fruit,fruit,10
Apple,apple,Fruit,fruit,10
Apricot,apricot,Fruit,fruit,10
Arctic blackberry,arctic blackberry,Fruit,fruit,10
Asian pear,asian pear,Fruit,fruit,10
Banana,banana,Fruit,fruit,10
Bayberry,bayberry,Fruit,fruit,10
Bilberry,bilberry,Fruit,fruit,10
Bitter gourd,bitter gourd,Fruit,fruit,5
Black chokeberry,black chokeberry,Fruit,fruit,10
Black crowberry,black crowberry,Fruit,fruit,10
Black elderberry,black elderberry,Fruit,fruit,10
Black huckleberry,black huckleberry,Fruit,fruit,10
Black mulberry,black mulberry,Fruit,fruit,10
Black raspberry,black raspberry,Fruit,fruit,10
Blackberry,blackberry,Fruit,fruit,10
Blackcurrant,blackcurrant,Fruit,fruit,10
Blueberry,blueberry,Fruit,fruit,10
Bog bilberry,bog bilberry,Fruit,fruit,10
Boysenberry,boysenberry,Fruit,fruit,10
Breadfruit,breadfruit,Fruit,fruit,10
Buffalo currant,buffalo currant,Fruit,fruit,10
Butternut squash,butternut squash,Fruit,fruit,90
Canada blueberry,canada blueberry,Fruit,fruit,10
Cantelope,cantelope,Fruit,fruit,10
Cascade huckleberry,cascade huckleberry,Fruit,fruit,10
Chayote,chayote,Fruit,fruit,7
Cherimoya,cherimoya,Fruit,fruit,10
Cherry,cherry,Fruit,fruit,10
Chinese bayberry,chinese bayberry,Fruit,fruit,10
Citrus,citrus,Fruit,fruit,10
Clementine,clementine,Fruit,fruit,10
Cloudberry,cloudberry,Fruit,fruit,10
Coconut,coconut,Fruit,fruit,10
Common chokecherry,common chokecherry,Fruit,fruit,10
Common grape,common grape,Fruit,fruit,10
Common persimmon,common persimmon,Fruit,fruit,10
Crab apple,crab apple,Fruit,fruit,10
Cucumber,cucumber,Fruit,fruit,10
Custard apple,custard apple,Fruit,fruit,10
Date,date,Fruit,fruit,10
Deerberry,deerberry,Fruit,fruit,10
Durian,durian,Fruit,fruit,10
Elderberry,elderberry,Fruit,fruit,10
Elliott's blueberry,elliott's blueberry,Fruit,fruit,10
European cranberry,european cranberry,Fruit,fruit,10
European plum,european plum,Fruit,fruit,10
Evergreen huckleberry,evergreen huckleberry,Fruit,fruit,10
Feijoa,feijoa,Fruit,fruit,10
Fig,fig,Fruit,fruit,10
Fox grape,fox grape,Fruit,fruit,10
French plantain,french plantain,Fruit,fruit,10
Fruit preserve,fruit preserve,Fruit,fruit,10
Fruit salad,fruit salad,Fruit,fruit,10
Fruits,fruits,Fruit,fruit,10
Gooseberry,gooseberry,Fruit,fruit,10
Gourd,gourd,Fruit,fruit,5
Grape,grape,Fruit,fruit,10
Grapefruit,grapefruit,Fruit,fruit,10
Guava,guava,Fruit,fruit,10
Half-highbush blueberry,half-highbush blueberry,Fruit,fruit,10
Highbush blueberry,highbush blueberry,Fruit,fruit,10
Honeydew melon,honeydew melon,Fruit,fruit,10
Horned melon,horned melon,Fruit,fruit,90
Huckleberry,huckleberry,Fruit,fruit,10
Jackfruit,jackfruit,Fruit,fruit,10
Japanese persimmon,japanese persimmon,Fruit,fruit,10
Java plum,java plum,Fruit,fruit,10
Jostaberry,jostaberry,Fruit,fruit,10
Jujube,jujube,Fruit,fruit,10
Kiwi,kiwi,Fruit,fruit,10
Kumquat,kumquat,Fruit,fruit,10
Lemon,lemon,Fruit,fruit,10
Lichee,lichee,Fruit,fruit,10
Lime,lime,Fruit,fruit,10
Lingonberry,lingonberry,Fruit,fruit,10
Loganberry,loganberry,Fruit,fruit,10
Longan,longan,Fruit,fruit,10
Loquat,loquat,Fruit,fruit,10
Lowbush blueberry,lowbush blueberry,Fruit,fruit,10
Malabar plum,malabar plum,Fruit,fruit,10
Mamey sapote,mamey sapote,Fruit,fruit,10
Mammee apple,mammee apple,Fruit,fruit,10
Mandarin orange,mandarin orange,Fruit,fruit,10
Mango,mango,Fruit,fruit,10
Medlar,medlar,Fruit,fruit,10
Mulberry,mulberry,Fruit,fruit,10
Muscadine grape,muscadine grape,Fruit,fruit,10
Nance,nance,Fruit,fruit,10
Nanking cherry,nanking cherry,Fruit,fruit,10
Naranjilla,naranjilla,Fruit,fruit,10
Natal plum,natal plum,Fruit,fruit,10
Nectarine,nectarine,Fruit,fruit,10
Ohelo berry,ohelo berry,Fruit,fruit,10
Oval-leaf huckleberry,oval-leaf huckleberry,Fruit,fruit,10
Papaya,papaya,Fruit,fruit,10
Passion fruit,passion fruit,Fruit,fruit,10
Peach,peach,Fruit,fruit,10
Pear,pear,Fruit,fruit,10
Persian lime,persian lime,Fruit,fruit,10
Persimmon,persimmon,Fruit,fruit,10
Pineapple,pineapple,Fruit,fruit,10
Pitanga,pitanga,Fruit,fruit,10
Plains prickly pear,plains prickly pear,Fruit,fruit,10
Plum,plum,Fruit,fruit,10
Pomegranate,pomegranate,Fruit,fruit,10
Pomes,pomes,Fruit,fruit,10
Prickly pear,prickly pear,Fruit,fruit,10
Pummelo,pummelo,Fruit,fruit,10
Pumpkin,pumpkin,Fruit,fruit,90
Purple mangosteen,purple mangosteen,Fruit,fruit,10
Quince,quince,Fruit,fruit,10
Rambutan,rambutan,Fruit,fruit,10
Raspberry,raspberry,Fruit,fruit,10
Red huckleberry,red huckleberry,Fruit,fruit,10
Red raspberry,red raspberry,Fruit,fruit,10
Redcurrant,redcurrant,Fruit,fruit,10
Rowanberry,rowanberry,Fruit,fruit,10
Salmonberry,salmonberry,Fruit,fruit,10
Sapodilla,sapodilla,Fruit,fruit,10
Saskatoon berry,saskatoon berry,Fruit,fruit,10
Sea-buckthornberry,sea-buckthornberry,Fruit,fruit,10
Skunk currant,skunk currant,Fruit,fruit,10
Sour cherry,sour cherry,Fruit,fruit,10
Soursop,soursop,Fruit,fruit,10
Sparkleberry,sparkleberry,Fruit,fruit,10
Squash,squash,Fruit,fruit,60
Squashberry,squashberry,Fruit,fruit,10
Star fruit,star fruit,Fruit,fruit,10
Strawberry,strawberry,Fruit,fruit,10
Strawberry guava,strawberry guava,Fruit,fruit,10
Sugar apple,sugar apple,Fruit,fruit,10
Summer grape,summer grape,Fruit,fruit,10
Sunburst squash,sunburst squash,Fruit,fruit,5
Sweet cherry,sweet cherry,Fruit,fruit,10
Sweet orange,sweet orange,Fruit,fruit,10
Sweet rowanberry,sweet rowanberry,Fruit,fruit,10
Tamarind,tamarind,Fruit,fruit,10
Tangerine,tangerine,Fruit,fruit,10
Tinda,tinda,Fruit,fruit,90
Watermelon,watermelon,Fruit,fruit,10
Wax apple,wax apple,Fruit,fruit,10
Wax gourd,wax gourd,Fruit,fruit,90
Winter squash,winter squash,Fruit,fruit,90
Zucchini,zucchini,Fruit,fruit,14
Annual wild rice,annual wild rice,Grain,grain,
Bagel,bagel,Grain,grain,
Barley,barley,Grain,grain,
Biscuit,biscuit,Grain,grain,
Breakfast cereal,breakfast cereal,Grain,grain,
Bulgur,bulgur,Grain,grain,
Cereals and cereal products,cereals and cereal products,Grain,grain,
Common buckwheat,common buckwheat,Grain,grain,
Common wheat,common wheat,Grain,grain,
Corn,corn,Grain,grain,
Corn grits,corn grits,Grain,grain,
Cornbread,cornbread,Grain,grain,
Crisp bread,crisp bread,Grain,grain,
Dough,dough,Grain,grain,
Flour,flour,Grain,grain,
Focaccia,focaccia,Grain,grain,
French toast,french toast,Grain,grain,
Hard wheat,hard wheat,Grain,grain,
Millet,millet,Grain,grain,
Multigrain bread,multigrain bread,Grain,grain,
Oat,oat,Grain,grain,
Oat bread,oat bread,Grain,grain,
Oriental wheat,oriental wheat,Grain,grain,
Pan dulce,pan dulce,Grain,grain,
Pasta,pasta,Grain,grain,
Piki bread,piki bread,Grain,grain,
Pita bread,pita bread,Grain,grain,
Potato bread,potato bread,Grain,grain,
Quinoa,quinoa,Grain,grain,
Raisin bread,raisin bread,Grain,grain,
Red rice,red rice,Grain,grain,
Rice,rice,Grain,grain,
Rice bread,rice bread,Grain,grain,
Rye,rye,Grain,grain,
Rye bread,rye bread,Grain,grain,
Semolina,semolina,Grain,grain,
Sorghum,sorghum,Grain,grain,
Sourdough,sourdough,Grain,grain,
Spelt,spelt,Grain,grain,
Tartary buckwheat,tartary buckwheat,Grain,grain,
Tortilla,tortilla,Grain,grain,
Triticale,triticale,Grain,grain,
Wheat,wheat,Grain,grain,
Wheat bread,wheat bread,Grain,grain,
Wild rice,wild rice,Grain,grain,
Zwieback,zwieback,Grain,grain,
Baby food,baby food,Other,other,
Adobo,adobo,Other,other,
Alfalfa,alfalfa,Other,other,
Allspice,allspice,Other,other,
Amaranth,amaranth,Other,other,
Angelica,angelica,Other,other,
Anise,anise,Other,other,
Arabica coffee,arabica coffee,Other,other,
Avocado Oil,avocado oil,Other,other,
Babassu palm,babassu palm,Other,other,
Borage,borage,Other,other,
Breadnut tree seed,breadnut tree seed,Other,other,
Butter substitute,butter substitute,Other,other,
Canola,canola,Other,other,
Capers,capers,Other,other,
Caraway,caraway,Other,other,
Cardamom,cardamom,Other,other,
Celery leaves,celery leaves,Other,other,
Chervil,chervil,Other,other,
Chia,chia,Other,other,
Chinese chives,chinese chives,Other,other,
Chives,chives,Other,other,
Chocolate,chocolate,Other,other,
Cinnamon,cinnamon,Other,other,
Cloves,cloves,Other,other,
Cocoa bean,cocoa bean,Other,other,
Cocoa butter,cocoa butter,Other,other,
Cocoa liquor,cocoa liquor,Other,other,
